,p90p100,p50p90,p0p50,Wealth-Inc Ratio
0,0.4649,0.4091,0.126,3.902778149
1,0.4644,0.4078,0.1277,3.813826561
2,0.4639,0.4066,0.1295,3.773576021
3,0.4634,0.4053,0.1313,3.896227837
4,0.4629,0.404,0.133,4.044176579
5,0.4624,0.4028,0.1348,4.087599754
6,0.4683,0.399,0.1327,4.183343887
7,0.4742,0.3952,0.1306,4.315273762
8,0.48,0.3914,0.1286,4.447505951
9,0.4859,0.3876,0.1265,4.555759907
10,0.4918,0.3838,0.1244,4.626148701
11,0.4976,0.3801,0.1223,4.683784008
12,0.4898,0.3842,0.1259,4.678123474
13,0.482,0.3884,0.1295,4.697559834
14,0.4742,0.3926,0.1332,4.718120575
15,0.4664,0.3968,0.1368,4.720312595
16,0.4586,0.401,0.1404,4.717781067
17,0.4508,0.4052,0.144,4.719487667
18,0.4429,0.4094,0.1477,4.729883194
19,0.4351,0.4136,0.1513,4.742182255
20,0.4272,0.4178,0.155,4.755838394
21,0.4272,0.4178,0.155,4.771066189
